ZIPCODE,LATITUDE,LONGITUDE,LAND_AREA
00601,18.180555,-66.749961,64.416
00602,18.361945,-67.175597,30.327
00603,18.457399,-67.124867,34.356
00606,18.15832,-66.932928,44.334
00610,18.295304,-67.12518,37.124
00611,18.276316,-66.807165,10.649
00612,18.416727,-66.70009,76.254
00616,18.420408,-66.671986,10.876
00617,18.446889,-66.561154,18.343
00622,17.988103,-67.160357,31.166
00623,18.084371,-67.158765,39.198
00624,18.051808,-66.721711,46.998
00627,18.412423,-66.863708,46.447
00631,18.184294,-66.830795,3.126
00636,18.1636,-67.080097,0.367
00637,18.080103,-66.947975,35.161
00638,18.280188,-66.513111,71.401
00641,18.268074,-66.701785,84.1
00646,18.432897,-66.286499,21.052
00647,17.963613,-66.947127,15.799
00650,18.349209,-66.578112,31.758
00652,18.448446,-66.594111,6.44
00653,17.988642,-66.90169,22.12
00656,18.040467,-66.78968,42.144
00659,18.407304,-66.808995,41.021
00660,18.134695,-67.116199,11.318
00662,18.468299,-67.015743,41.271
00664,18.210328,-66.591615,46.922
00667,18.003263,-67.036138,60.207
00669,18.276925,-66.869587,64.117
00670,18.233507,-66.987629,46.508
00674,18.424146,-66.4879,43.453
00676,18.381597,-67.080884,48.853
00677,18.332568,-67.227022,14.569
00678,18.430503,-66.930479,29.126
00680,18.183493,-67.133054,64.305
00682,18.224864,-67.153891,16.31
00683,18.1078,-67.037263,49.289
00685,18.336889,-66.972951,78.694
00687,18.318017,-66.420392,38.871
00688,18.382305,-66.626393,32.506
00690,18.493543,-67.096915,2.262
00692,18.410652,-66.336202,26.526
00693,18.425961,-66.398098,44.41
00694,18.483127,-66.39236,0.799
00698,18.072916,-66.85119,62.659
00703,18.248401,-66.130662,31.022
00704,17.973168,-66.229011,8.996
00705,18.12896,-66.266691,30.409
00707,18.014055,-65.920751,20.925
00714,17.995867,-66.055529,15.004
00715,17.990485,-66.566143,12.706
00716,17.985014,-66.606721,8.667
00717,18.002639,-66.611087,2.373
00718,18.23201,-65.756036,47.211
00719,18.28992,-66.25344,28.209
00720,18.216608,-66.423682,56.139
00723,18.019337,-66.001862,46.008
00725,18.220689,-66.03958,41.363
00727,18.211921,-66.073355,22.563
00728,17.991071,-66.662968,15.397
00729,18.334918,-65.887078,35.753
00730,18.030882,-66.611928,6.638
00731,18.109947,-66.635622,48.953
00735,18.252179,-65.665631,27.376
00736,18.103624,-66.151667,54.9
00738,18.304458,-65.698711,29.622
00739,18.175543,-66.162102,30.773
00740,18.333961,-65.631674,0.418
00741,18.163857,-65.754041,2.277
00745,18.352176,-65.810929,60.747
00751,18.003779,-66.262905,60.732
00754,18.144582,-65.972253,49.993
00757,17.991428,-66.402337,32.468
00765,18.124207,-65.42307,47.256
00766,18.130718,-66.472244,38.155
00767,18.069489,-65.896029,55.179
00769,18.096641,-66.358335,77.076
00771,18.187152,-65.871194,33.601
00772,18.438944,-65.90522,16.343
00773,18.342888,-65.723109,24.1
00775,18.326611,-65.307771,11.647
00777,18.224327,-65.909085,26.854
00778,18.264076,-65.97851,29.523
00780,18.094076,-66.565781,19.116
00782,18.224878,-66.224482,27.98
00783,18.300222,-66.328927,42.112
00784,18.010714,-66.133615,66.735
00786,18.135725,-66.228698,1.764
00791,18.142603,-65.812812,42.636
00794,18.200018,-66.309282,34.319
00795,18.04645,-66.495142,59.796
00802,18.342939,-64.925102,29.834
00820,17.736627,-64.708215,43.122
00830,18.338559,-64.73653,19.387
00840,17.72471,-64.848522,30.995
00850,17.726822,-64.792245,8.581
00851,17.747525,-64.787439,0.371
00901,18.466594,-66.107982,1.015
00906,18.46446,-66.094995,0.003
00907,18.452271,-66.087625,2.043
00909,18.441246,-66.068766,0.653
00911,18.453656,-66.056338,0.476
00912,18.445067,-66.059942,0.371
00913,18.464629,-66.04459,0.324
00915,18.437179,-66.045571,1.403
00917,18.420674,-66.050105,1.365
00918,18.422249,-66.069081,2.698
00920,18.422439,-66.09214,3.61
00921,18.392088,-66.087108,3.069
00923,18.410804,-66.037358,2.008
00924,18.399186,-66.01258,4.662
00925,18.400271,-66.05059,0.446
00926,18.348601,-66.053929,23.212
00927,18.388202,-66.070033,2.423
00934,18.413,-66.119829,1.419
00949,18.409879,-66.227441,20.58
00950,18.467225,-66.237929,2.664
00951,18.42805,-66.259772,1.071
00952,18.428724,-66.188931,2.217
00953,18.360729,-66.251527,26.691
00956,18.321137,-66.170419,27.421
00957,18.366147,-66.188962,4.341
00959,18.385785,-66.155654,6.093
00960,18.416761,-66.142509,1.402
00961,18.4099,-66.163354,5.398
00962,18.439988,-66.1355,4.816
00965,18.430508,-66.110917,0.905
00966,18.397875,-66.113935,2.52
00968,18.406063,-66.101232,0.456
00969,18.366232,-66.110145,5.038
00971,18.318884,-66.11919,16.026
00976,18.33618,-65.994101,17.435
00979,18.438359,-65.999169,3.889
00982,18.408744,-65.991273,1.447
00983,18.41722,-65.981317,4.321
00985,18.410774,-65.947927,9.235
00987,18.343988,-65.943754,25.931
