ZIPCODE,NUM_RETURNS,MEAN_AGI
02630,1130,159857.5221238938
02631,5690,103962.74165202108
02632,6300,94192.85714285714
02633,2450,165148.57142857142
02635,2050,134843.41463414635
02638,1830,112607.10382513661
02639,1910,65916.23036649215
02642,2600,107761.53846153847
02644,2220,91696.84684684685
02645,5860,98005.80204778157
02646,1270,128309.44881889764
02648,4230,100486.76122931442
02649,8950,109511.843575419
02650,580,164056.89655172414
02653,3230,136732.19814241485
02655,2170,258594.47004608295
02657,2590,153321.62162162163
02659,720,140700.0
02660,3650,85704.1095890411
02664,5700,76141.9298245614
02667,1800,111398.88888888889
02668,1860,118953.76344086022
02670,970,108151.54639175258
02671,770,115831.16883116883
02673,5280,68083.71212121213
02675,3960,103030.80808080808
02702,2300,96793.47826086957
02703,24050,81429.85446985447
02715,2000,105874.5
02717,2660,92625.93984962406
02718,3670,75594.82288828338
02719,8470,81005.31286894923
02720,15500,60622.967741935485
02721,12360,47457.52427184466
02723,7270,46041.81568088033
02724,8400,46957.5
02725,1360,77802.20588235294
02726,8450,83124.97041420119
02738,2850,157722.1052631579
02739,3830,144377.28459530027
02740,20390,50727.95487984306
02743,5470,89108.957952468
02744,5700,46322.28070175439
02745,12910,63584.353214562354
02746,7210,41333.56449375867
02747,9960,93180.32128514056
02748,6250,146055.84
02760,14790,110172.75185936443
02762,5150,101522.71844660194
02763,1140,110778.0701754386
02764,2220,109836.03603603604
02766,9430,100519.72428419936
02767,8200,98575.12195121951
02769,6780,120219.76401179942
02770,3080,111809.41558441559
02771,8250,99533.21212121213
02777,9040,89563.05309734514
02779,3600,99170.27777777778
02780,27280,64580.975073313784
02790,9140,98825.05470459518
02804,1500,76503.33333333333
02806,8470,240561.39315230225
02808,1170,65634.18803418803
02809,10590,99708.97072710104
02812,720,86413.88888888889
02813,4570,117375.27352297593
02814,4160,91485.33653846153
02815,150,87940.0
02816,17850,80083.36134453781
02817,3540,108142.93785310735
02818,10280,188957.00389105058
02822,3280,115621.34146341463
02825,3000,90053.0
02827,1210,86333.88429752066
02828,3940,101714.46700507615
02830,3530,81691.78470254957
02831,2260,104228.3185840708
02832,2550,83590.98039215687
02833,310,66632.25806451614
02835,3150,193953.96825396825
02837,1900,132224.2105263158
02838,1850,64562.16216216216
02839,990,72862.62626262626
02840,11140,112639.40754039497
02842,8650,95699.88439306358
02852,12970,108934.23284502699
02857,4650,100413.54838709677
02858,310,80064.51612903226
02859,3400,72091.76470588235
02860,23380,49820.35928143712
02861,14810,57983.45712356516
02863,9090,36483.608360836086
02864,19210,95678.50078084331
02865,9720,124474.69135802469
02871,9520,121995.16806722688
02874,3310,156075.83081570998
02875,220,59613.63636363636
02876,630,87684.12698412698
02878,8710,92703.78874856487
02879,11330,112786.49602824361
02881,1160,106468.10344827586
02882,6410,134814.66458658347
02885,6090,82129.22824302135
02886,16040,83473.50374064838
02888,11060,73280.28933092224
02889,15510,73087.74983881367
02891,12030,107945.22028262676
02892,2860,97654.1958041958
02893,16360,61838.32518337408
02894,470,67934.0425531915
02895,20060,51400.598205383845
02896,5710,91778.10858143607
02898,1190,86248.73949579832
02903,5160,116360.65891472869
02904,16150,62512.87925696594
02905,13120,57398.01829268293
02906,12840,164214.8753894081
02907,14920,37160.18766756032
02908,18940,51581.203801478354
02909,22660,40889.93821712268
02910,12330,59362.77372262774
02911,8470,66806.72963400236
02914,11440,60149.82517482517
02915,9170,69031.8429661941
02916,4550,91726.81318681319
02917,6580,118579.48328267477
02919,16590,70966.72694394214
02920,19410,69678.31014940752
02921,6720,125553.72023809524
03031,6030,164990.71310116086
03032,3110,134435.69131832797
03033,2840,129212.67605633802
03034,2330,101798.28326180257
03036,2720,114543.75
03037,2450,108457.55102040817
03038,17940,86488.74024526199
03042,3960,89632.32323232324
03043,840,116810.71428571429
03044,2520,93243.25396825396
03045,7160,96098.88268156424
03046,1590,116269.18238993711
03047,890,89471.91011235955
03048,1700,77583.5294117647
03049,4400,309297.5
03051,14000,97242.85714285714
03052,4610,106371.58351409978
03053,13940,111519.58393113343
03054,15300,107001.69934640524
03055,8660,87119.39953810624
03057,1380,146957.24637681158
03060,15240,62757.545931758534
03062,15550,115070.41800643087
03063,9020,98519.17960088691
03064,8080,96106.93069306931
03070,3090,113727.50809061488
03071,2690,85424.16356877323
03076,7730,119491.72056921087
03077,5830,80961.74957118354
03079,16700,123334.19161676646
03082,850,102352.94117647059
03084,700,95518.57142857143
03086,2140,97435.98130841121
03087,7830,213740.61302681992
03101,2030,104918.71921182267
03102,16660,64509.78391356543
03103,18850,57976.60477453581
03104,17440,101718.69266055046
03106,7810,104376.18437900128
03109,6120,82799.01960784313
03110,11410,199548.02804557406
03216,1180,78402.54237288136
03217,1180,80144.06779661016
03218,680,69411.76470588235
03220,3750,73562.13333333333
03221,1120,101147.32142857143
03222,3050,85059.01639344262
03223,2220,84706.3063063063
03224,1350,106937.03703703704
03225,1960,79527.04081632652
03226,1060,178963.20754716982
03227,610,120880.32786885246
03229,3080,144699.35064935064
03230,680,66001.4705882353
03233,200,153440.0
03234,2570,86781.7120622568
03235,4330,57707.85219399538
03237,1390,90223.02158273381
03240,680,64560.294117647056
03241,530,100966.03773584905
03242,2170,96706.91244239631
03243,550,62872.72727272727
03244,4210,72987.64845605701
03245,1090,123977.98165137615
03246,8620,90074.70997679814
03249,3950,137565.31645569621
03251,960,166431.25
03253,3720,121968.01075268818
03254,2540,172821.25984251968
03255,1190,151326.05042016806
03256,1240,87095.16129032258
03257,2390,198359.83263598327
03258,1440,96468.75
03259,170,87458.82352941176
03261,2480,83289.1129032258
03262,770,72366.23376623377
03263,2120,67802.35849056604
03264,2620,78180.91603053435
03266,1100,67053.63636363637
03268,700,83508.57142857143
03269,1600,105666.25
03275,6450,74414.88372093023
03276,4460,65196.63677130045
03278,1640,86393.90243902439
03279,380,54402.63157894737
03280,670,75519.40298507463
03281,4680,91478.4188034188
03282,500,72338.0
03284,460,88639.13043478261
03285,970,86242.26804123711
03287,750,111074.66666666667
03290,2650,116507.54716981133
03301,16430,88048.87401095557
03303,8280,75415.0966183575
03304,4080,140047.54901960783
03307,3070,82014.98371335505
03431,12010,81576.6860949209
03440,1410,78663.12056737588
03441,200,56485.0
03442,760,70568.42105263157
03443,400,95587.5
03444,850,126792.94117647059
03445,380,80102.63157894737
03446,3140,75397.77070063695
03447,1220,79296.72131147541
03448,400,72185.0
03449,980,134950.0
03450,530,113154.71698113208
03451,1970,59347.20812182741
03452,2920,84867.80821917808
03455,1150,80427.82608695653
03456,420,66890.47619047618
03457,390,103271.79487179487
03458,3670,121091.00817438692
03461,2900,110530.68965517242
03462,890,124252.80898876404
03464,590,85844.06779661016
03465,1080,61923.148148148146
03466,700,111321.42857142857
03467,810,100319.75308641975
03470,2370,63646.4135021097
03561,3400,74698.5294117647
03570,3810,52112.33595800525
03574,1440,78772.22222222222
03576,1450,71001.37931034483
03579,210,79971.42857142857
03580,820,165251.21951219512
03581,1640,76597.56097560975
03582,1130,57036.28318584071
03583,560,71230.35714285714
03584,1790,73183.79888268157
03585,1370,74064.23357664233
03586,290,139696.55172413794
