ZIPCODE,POPULATION_DENSITY
00601,288.58705787281656
00602,1355.9322033898306
00603,1729.7340038586835
00606,156.34971282705808
00610,807.952552000668
00612,991.3748465077745
00616,955.5073720728535
00617,1618.756169792695
00622,270.85848308212326
00623,1133.9600779480697
00624,607.9371698637754
00627,758.4726566713408
00631,460.58194478985325
00637,734.0416267525908
00638,286.7893103187221
00641,333.48301632613783
00646,1842.9584599797365
00647,405.91910555738247
00650,491.38326453050263
00652,681.6538961977734
00653,873.0481564099199
00656,662.6870276106741
00659,1004.0926714853287
00660,1520.3595980962457
00662,975.3909947266417
00664,368.7089475187276
00667,430.5468050535531
00669,483.2336885885105
00670,215.2073732718894
00674,988.9222555889223
00676,799.3338223922914
00677,1065.0672989748239
00678,1055.3089791737793
00680,905.4382358437675
00682,2264.4587933069497
00683,647.1219437418563
00685,552.4228393071337
00687,838.9287643744693
00688,425.63957508328616
00690,2221.235795454545
00692,1401.7563527653213
00693,1552.1818736649375
00694,410.5131414267835
00698,600.1522572860857
00703,963.9751971422794
00704,1758.3025830258302
00705,801.2144355065885
00707,580.3189974366278
00714,1338.3952390724398
00715,464.6079552675054
00716,3945.2230787199246
00717,8780.685061845861
00718,588.1078691423519
00719,1106.667142806128
00720,388.02489640478467
00723,417.61265164644715
00725,2116.7136394855884
00727,2715.8208122063543
00728,2870.0709401163163
00729,1582.6978004181267
00730,5486.108979278588
00731,325.2189215234424
00735,589.0428589815093
00736,935.27895749392
00738,1184.7202903959019
00739,1256.428119062698
00740,4861.502347417841
00741,2103.6817604739736
00745,1066.865590668656
00751,492.3263585857511
00754,800.0940641595955
00757,779.721803251215
00765,477.73576979626125
00766,661.5549838907066
00767,686.1892213839654
00769,526.0213817079227
00771,1135.2789851858422
00772,1576.1648134251996
00773,825.4359986837775
00775,169.14480537929728
00777,1530.566946315037
00778,1532.4854945351506
00780,685.8506038467274
00782,724.5158384626933
00783,873.7123873712387
00784,803.5174251152074
00786,1389.1050583657586
00791,1445.1087544638026
00794,866.5042354874353
00795,1053.5918887952093
00901,7231.869254341164
00906,1333.3333333333333
00907,14500.0
00909,10213.11475409836
00911,18115.546218487394
00912,20423.42342342342
00913,28919.254658385093
00915,23493.19971367216
00917,16232.074016962222
00918,8476.995305164319
00920,6293.703833978192
00921,14122.28870605834
00923,14250.857422831945
00924,12087.633262260128
00925,19454.13870246085
00926,4505.504511215959
00927,5685.572896840503
00934,384.5126835781041
00936,4229.813664596273
00949,4679.93857004721
00950,3.7562604340567614
00951,84.33734939759036
00952,8090.541632983023
00953,2734.9140352848635
00956,2995.6559513466545
00957,9885.306210776887
00959,7880.299251870324
00960,1946.3894967177241
00961,6266.473429951691
00962,5890.780513357779
00965,13551.92878338279
00966,5178.88198757764
00968,7593.886462882096
00969,8646.119189023142
00971,1941.1138257219823
00976,3891.504361333493
00979,10895.713371721047
00982,11585.331452750353
00983,11326.21247113164
